name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2019 weather new york,2019-04-18,13.3,4.2,10.5,13.3,2.8,9.5,2.4,58.9,1.19,100,29.17,rain,0,0,54.5,33.2,161.7,1016.9,87.5,15.9,130.7,11.3,6,,2019-04-18T06:09:33,2019-04-18T19:41:24,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-19,24.1,12.2,18.6,24.1,12.2,18.6,12.9,70.6,3.1,100,20.83,rain,0,0,52.3,30.2,170,1005.7,58.6,15,92.4,8,4,,2019-04-19T06:07:57,2019-04-19T19:42:33,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-20,20.4,15.7,18.5,20.4,15.7,18.5,14.2,76.5,13.05,100,45.83,rain,0,0,58.1,34.3,157.3,1006.2,77,14.5,45.7,4,3,,2019-04-20T06:06:23,2019-04-20T19:43:42,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-21,21.7,10.7,16.2,21.7,10.7,16.2,9.2,64.3,0.08,100,8.33,rain,0,0,41.1,25.2,196.9,1014.7,62.3,15.9,231.3,20,9,,2019-04-21T06:04:49,2019-04-21T19:44:51,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,E4767,KDDH,KALB,D3701"
2019 weather new york,2019-04-22,22.4,10.4,16,22.4,10.4,16,7.7,59.7,0,0,0,,0,0,37.8,22.5,184,1018.9,61,15.9,234.4,20.1,9,,2019-04-22T06:03:16,2019-04-22T19:46:00,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,72522014750,APBN6,72616654781,72518014735,E4767,KDDH,KALB,D3701"
2019 weather new york,2019-04-23,23.6,9.9,16.8,23.6,9.3,16.8,6.9,54.3,4,100,12.5,rain,0,0,27.7,17.1,189,1012.5,51.3,15.7,263.2,22.8,9,,2019-04-23T06:01:44,2019-04-23T19:47:10,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,E4767,KDDH,KALB,D3701"
2019 weather new york,2019-04-24,16.1,6.6,10.8,16.1,4.7,9.4,4.1,63.8,0.03,100,4.17,rain,0,0,47.3,31.5,279.3,1009.3,82.6,16,143.3,12.3,5,,2019-04-24T06:00:13,2019-04-24T19:48:19,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-25,18.5,3.3,11.3,18.5,2.8,11,2.3,56,0,0,0,,0,0,,11.6,178.7,1013.5,46.4,16,284.6,24.5,9,,2019-04-25T05:58:43,2019-04-25T19:49:28,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-26,15.2,10.3,12.8,15.2,10.3,12.8,8.1,73.9,13.16,100,75,rain,0,0,54.5,23.3,144.7,1003.4,81.1,14.4,45,3.7,2,,2019-04-26T05:57:14,2019-04-26T19:50:36,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-27,10.2,5,7,10.2,0.6,3.2,0.9,66,10.2,100,37.5,rain,0,0,59.9,33.8,288.8,1000.1,47.1,15,125.6,10.8,6,,2019-04-27T05:55:46,2019-04-27T19:51:45,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-28,9.8,5.3,7.3,7.8,1.8,5.4,0.3,61.2,0.31,100,16.67,rain,0,0,51.8,28,271,1016.4,69,16,110.3,9.6,4,,2019-04-28T05:54:20,2019-04-28T19:52:54,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,E4767,KDDH,KALB,D3701"
2019 weather new york,2019-04-29,13.3,1,8.1,13.3,-0.6,7.3,-4.7,43.5,0,0,0,,0,0,,18.6,193.2,1027.2,37,16,252.8,21.9,9,,2019-04-29T05:52:54,2019-04-29T19:54:02,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
2019 weather new york,2019-04-30,10.2,4.5,7.9,10.2,4.5,7.2,3.8,76.1,1.68,100,25,rain,0,0,27.7,12.3,153,1024.9,82,12.5,46.8,4.1,1,,2019-04-30T05:51:29,2019-04-30T19:55:11,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KGFL,72522014750,APBN6,72616654781,72518014735,KDDH,KALB,D3701"
